name,brand_name,price_of_the_bottle,mrp_of_the_bottle,rating,number_of_rating,size_of_the_bottle,key_ingredients,key_benifits,category
New Life Bach Flower Mimulus 30,New Life Laboratories Pvt Ltd,ƒ??118,ƒ??125,4.5,98 Ratings,30 ml Dilution,,Helps to treat phobias and anxietyAids in balancing the mind's energiesHelps to reduce stress levels in the body,Mental wellness
LDD Bioscience Tone-Max Syrup,LDD Bioscience Pvt Ltd,ƒ??182,ƒ??200,,,180 ml Syrup,,"Treats general debility, nervous exhaustion, impotence, and issues with dischargeHelps relieve pain due to an enlarged prostate, swollen and tender testicles, or in pelvic areasCan be useful as a restorative tonic in conditions of fatigue",Mental wellness
Dr. Reckeweg R76 Asthma Forte Drop,Dr Reckeweg & Co,ƒ??238,ƒ??270,4.6,33 Ratings,22 ml Drop,,Helps relieve chest painAids in the management of Asthma convulsiumPromotes relaxed breathing in patients,ENT
Medisynth Wartex Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.2,119 Ratings,30 ml Drop,Causticum,Helps to prevent warts and cornReduces inflammationReduces scars,Skin care
Allen's Triofer Homoeo Hair & Care Tablet,Allen Healthcare,ƒ??150,,4.1,29 Ratings,50 tablets,,Hair care tablet that provides healthy hairControls excessive hair loss and premature grayingRemoves the root causes of hair problems from withinPromotes new growth of healthy hair and makes them long,Hair care
LDD Bioscience Mother Tincture Phytolacca Berry Q,LDD Bioscience Pvt Ltd,ƒ??279,ƒ??310,4.4,20 Ratings,100 ml Mother Tincture,This formulation can help improve body metabolism and enhance the digestive system to aid in weight loss and reduce fat from the body,It can help with weight managementIt may improve metabolism and energy levelsIt might help reduce appetiteIt can soothe sore throat,Throat care
Medisynth Gasgan Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.4,149 Ratings,30 ml Drop,Carbo vegetabilis,Relieves stomach aches and gastric disordersPrevents constipationImproves digestion,Digestion
Dr Willmar Schwabe India Alpha-Liv Liver Tonic,Dr Willmar Schwabe India Pvt Ltd,ƒ??105,ƒ??125,4.5,291 Ratings,100 ml Tonic,,Manages liver-related problemsMaintains digestionDetoxifies the bodySupports general health and well-being,Digestion
LDD Bioscience Hydrastis Canadensis Mother Tincture Q,LDD Bioscience Pvt Ltd,ƒ??477,ƒ??550,4.2,43 Ratings,100 ml Mother Tincture,,Product Highlights:Helps treat coryza and catarrhEases menstruation and ear painsGives relief from ulcers and eczemaEffective in improving appetite,ENT
SBL Rhus Toxicodendron Dilution 1000 CH,SBL Pvt Ltd,ƒ??123,ƒ??140,4.6,1133 Ratings,30 ml Dilution,Rhus Toxicodendron,Useful in the treatment of eczema and relieves conditions of itchiness and rashesAlso helpful in the treatment of rheumatic pain,Skin care
Dr Willmar Schwabe India Thuja Occidentalis Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,ƒ??101,ƒ??125,4.4,91 Ratings,30 ml Mother Tincture,,Treats skin conditions like swelling and eruptionsHelps in clearing brown spots and maintain a healthy skinHelps in treating the skin dotted with freckles and blotches,ENT
Medisynth Aqui Folium Cream,Medisynth Chemicals Pvt Ltd,ƒ??100,,4.5,91 Ratings,20 gm Cream,Berberis aquifolium extract,Prevents acne and pimplesReduces dark spotsMakes the skin soft and supple,Skin care
Bakson's Calcarea Phosphorica Biochemic Tablet 12X,Bakson's Homeopathy,ƒ??691,ƒ??720,4.5,39 Ratings,4500 biochemic tablets,The remedy helps manage dentition and bone affection,Helps manage dentition and bone affectionAssists in managing dyspepsiaWorks as a growth supplement for children,Joint
Allen A91 Uterine Fibroids Drop,Allen Homoeo & Herbal Products Ltd,ƒ??153,ƒ??170,4.5,32 Ratings,30 ml Drop,,"Supports reproductive health


Helps manage urinary tract health?ÿ


Manages gastrointestinal symptoms like constipation",Digestion
Medisynth Witch Hazel Cream,Medisynth Chemicals Pvt Ltd,ƒ??100,,4.5,86 Ratings,20 gm Cream,Hamamelis virginica,Prevents veinous congestionReduces dark spotsPrevents blood vessels from getting damaged,Skin care
Bakson's Ferrum Phosphoricum Biochemic Tablet 6X,Bakson's Homeopathy,ƒ??691,ƒ??720,4.5,20 Ratings,4500 biochemic tablets,Helps deal with incontinence,"Helps in reducing weakness and fatigue


Promotes quick recovery from illness


Effective against pain in joints and shoulder",Joint
Bakson's Astha Aid Syrup,Bakson's Homeopathy,ƒ??299,ƒ??340,4.7,66 Ratings,450 ml Syrup,Blatta Orientalis,"It has a three-fold action as it helps to control cough, dilates bronchi and aids expectorationRemedy for the feeling of breathlessness when associated with bronchitis",Fever
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,ƒ??151,ƒ??170,4.4,196 Ratings,200 ml Syrup,,"Improves digestionIncreases appetiteEffective in jaundice, gallstones and liver complications",Digestion
Lord's Dengma Syrup,Lord's Homoeopathic Laboratory Pvt Ltd,ƒ??128,ƒ??150,3.9,15 Ratings,180 ml Syrup,,Dengma Syrup helps you fight with the menace of dengue and chikungunyaHelps in the treatment of dengue virus in the bodyHelps in boosting the immune system,Fever
Medisynth Wartex Pills,Medisynth Chemicals Pvt Ltd,ƒ??110,ƒ??125,4.2,56 Ratings,25 gm Tablet,,"Safe, effective and painless medication for warts and cornsBeneficial in treating benign epithelial tumorsDoes not leave any mark or scar on the skinReduces tendency to wart formation",Skin care
Dr Willmar Schwabe India Urtica Urens Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,ƒ??96.8,ƒ??110,4.3,83 Ratings,30 ml Mother Tincture,,Is one of our remedies for allergic hivesUrtica urens helps reduce the pain and swelling of bee and wasp bitesMay help to promote the production of milk in the breasts,Skin care
Dr Willmar Schwabe India Paeonia Officinalis Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,ƒ??132,ƒ??150,4.5,82 Ratings,30 ml Mother Tincture,,Useful in condition of haemorrhoidsHelps in relieving diarrhoea and abdiminal painTreats disorders of genital and rectal region,Digestion
Lord's Uricid Drop,Lord's Homoeopathic Laboratory Pvt Ltd,ƒ??144,ƒ??160,4.2,65 Ratings,30 ml Drop,Berberis Vulgaris HPI,A remedy that normalises the functioning of the kidneyRedcues the swelling/redness or pain in jointsHelps to eliminate the creatinine through improved kidney functioning by increasing the glomerular filteration rate,Joint
SBL Rhus Toxicodendron Mother Tincture Q,SBL Pvt Ltd,ƒ??297,ƒ??330,4.6,58 Ratings,30 ml Mother Tincture,,"Relieves eczema, itchiness and rashes


Relieves arthritic and rheumatic pain


Helpful for cough and sore throat


Useful for fever, nausea and vomiting",Eye Care
Medisynth Pilen Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.3,289 Ratings,30 ml Drop,Acidum Nitricum,"Addresses problems related to pilesSoothes pain in the areaHelps with constipation problemsHelps with bleeding, non-bleeding, internal, external and blind haemorrhoidsSafe for consumption",Digestion
Bakson's Natrum Muriaticum Biochemic Tablet 6X,Bakson's Homeopathy,ƒ??691,ƒ??720,4.4,11 Ratings,4500 biochemic tablets,"It helps manage thin, clear, transparent, watery secretions, influenza, headache, eyestrain and bowel disturbances","Relieves headache, eyestrain and bowel disturbancesRegulates the degree of moisture within the cellsAssist in skin-related concerns",Eye Care
Bakson's Calcarea Phosphorica Biochemic Tablet 30X,Bakson's Homeopathy,ƒ??691,ƒ??720,4.5,39 Ratings,4500 biochemic tablets,The remedy helps manage dentition and bone affection,Helps manage dentition and bone affectionAssists in managing dyspepsiaWorks as a growth supplement for children,Joint
LDD Bioscience Tone Max 5000 Drop,LDD Bioscience Pvt Ltd,ƒ??329,ƒ??370,,,30 ml Drop,Damiana,Improves and stimulates libido and increase vigourHas aphrodisiac properties and improves overall health,Health supplement
Bakson's Biocombination 1 Tablet,Bakson's Homeopathy,ƒ??684,ƒ??720,,,4500 biocombination tablets,Calcarea phosphorica,Helps manage iron deficiencyRelieves tremors and weaknessProvides overall nutrition,Health supplement
Dr Willmar Schwabe India Carbo Vegetabilis Dilution 200 CH,Dr Willmar Schwabe India Pvt Ltd,ƒ??91.1,ƒ??115,4.5,279 Ratings,30 ml Dilution,Vegetable charcoal,It is used in gastro-intestinal disorders especially dyspepsia and flatulenceIt is also useful in diarrhea of old peopleHas been useful in collapse stage of choleraAids in the management of dysentry and hemorrhoids,Digestion
Wheezal WL58 Dengue Drop,Wheezal Homeo Pharma,ƒ??171,ƒ??175,,,30 ml Drop,,Helps in quick recovery in case of dengue attackHelps in relieving the symptoms of dengue disease,Fever
Bakson's Calcarea Phosphorica Biochemic Tablet 3X,Bakson's Homeopathy,ƒ??688,ƒ??720,4.5,39 Ratings,4500 biochemic tablets,The remedy helps manage dentition and bone affection,Helps manage dentition and bone affectionAssists in managing dyspepsiaWorks as a growth supplement for children,Joint
Bakson's Magnesium Phosphoricum Biochemic Tablet 30X,Bakson's Homeopathy,ƒ??684,ƒ??720,4.7,58 Ratings,4500 biochemic tablets,,Manages cramps and sciaticaAssists in nervous phenomenaManages all maladies having their origin in nerve cells,Mental wellness
Medisynth Wartex Cream,Medisynth Chemicals Pvt Ltd,ƒ??89,ƒ??100,4,285 Ratings,20 gm Cream,,Helps to prevent warts and cornReduces inflammationReduces scars,Skin care
Bakson's Biocombination 24 Tablet,Bakson's Homeopathy,ƒ??684,ƒ??720,,,4500 biocombination tablets,Calcarea phosphorica,"Helps increase haemoglobin levels


Assists in building a strong immune system


Helpful in managing low iron levels",Health supplement
Bakson's Kali Sulphuricum Biochemic Tablet 6X,Bakson's Homeopathy,ƒ??686,ƒ??720,,,4500 biochemic tablets,"It helps reduce and aid inflammation, yellow, mucous and serous discharges","Relieves incessant itching in the nose


It might prevent falling of hair, baldness, and yellow dandruff


It helps in arthritis and is useful in managing vertigo",ENT
Bakson's Natrum Muriaticum Biochemic Tablet 12X,Bakson's Homeopathy,ƒ??691,ƒ??720,4.4,11 Ratings,4500 biochemic tablets,"It helps manage thin, clear, transparent, watery secretions, influenza, headache, eyestrain and bowel disturbances","Relieves headache, eyestrain and bowel disturbancesRegulates the degree of moisture within the cellsAssist in skin-related concerns",Eye Care
LDD Bioscience Tone-Max Syrup,LDD Bioscience Pvt Ltd,ƒ??182,ƒ??200,,,180 ml Syrup,,"Treats general debility, nervous exhaustion, impotence, and issues with dischargeHelps relieve pain due to an enlarged prostate, swollen and tender testicles, or in pelvic areasCan be useful as a restorative tonic in conditions of fatigue",Mental wellness
Bakson's Kof Aid Cough Syrup,Bakson's Homeopathy,ƒ??229,ƒ??260,4.3,129 Ratings,450 ml Syrup,"Bryonia alba 2x, Ipecacuanha 3x, Antimonium tartaricum 8x, Phosphorus 8x, Drosera rotundifolia ??, Justicia adhatoda ??","Helps to treat associated symptoms of headache, rhinitis and feverTreats and reduces the sneezing, runny, stuffy and itchy noseIt helps to heal sore or scratchy throat, coughing and frequent headaches",ENT
Bakson's Biocombination 19 Tablet,Bakson's Homeopathy,ƒ??681,ƒ??720,,,4500 biocombination tablets,Ferrum phosphoricum,Helps support joint healthReduces joint pain and inflammationRelieves stiffness of joints,Joint
Bakson's Biocombination 25 Tablet,Bakson's Homeopathy,ƒ??688,ƒ??720,,,4500 biocombination tablets,Natrum phosphoricum,"Helps relieve acidity, flatulence and indigestion


It might reduce nausea, vomiting and abdominal pain


Reduces burning sensation in the stomach",Eye Care
Medisynth Wartex Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.2,119 Ratings,30 ml Drop,Causticum,Helps to prevent warts and cornReduces inflammationReduces scars,Skin care
Bakson's Biocombination 3 Tablet,Bakson's Homeopathy,ƒ??688,ƒ??720,,,4500 biocombination tablets,Magnesium phosphoricum,Helps relieve colicAids in reducing flatulenceHelps in relieving constipation,Digestion
Dr. Reckeweg Sarsaparilla Mother Tincture Q,Dr Reckeweg & Co,ƒ??224,ƒ??255,4.4,50 Ratings,20 ml Mother Tincture,,"Helps reduce the risk of kidney stones


Reduces bone pain


Deals with fluid retention


Helpful for various digestive problems",Joint
LDD Bioscience Mother Tincture Phytolacca Berry Q,LDD Bioscience Pvt Ltd,ƒ??279,ƒ??310,4.4,20 Ratings,100 ml Mother Tincture,This formulation can help improve body metabolism and enhance the digestive system to aid in weight loss and reduce fat from the body,It can help with weight managementIt may improve metabolism and energy levelsIt might help reduce appetiteIt can soothe sore throat,Throat care
ADEL 10 Deasth Drop,Adel Pekana Germany,ƒ??260,ƒ??295,4.7,55 Ratings,20 ml Drop,,"Primarily used for the treatment of lung disordersIt could be used to relieve stomach pain and cramps along with nausea and indigestionHelps in the cases of bronchitis, cardiac asthmaThese drops are a proven remedy against acute and chronic asthma",Eye Care
SBL Calcarea Phosphorica Biochemic Tablet 3X,SBL Pvt Ltd,ƒ??96.8,ƒ??110,4.6,969 Ratings,25 gm Biochemic Tablet,,Faciliates aid in case of bone-related problems and dentitionHelps in the growth of teeth and bonesUseful in case of psychological issues such as depressionHelps to increase Calcium and Phosphate content in the body,Joint
Medisynth Gasgan Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.4,149 Ratings,30 ml Drop,Carbo vegetabilis,Relieves stomach aches and gastric disordersPrevents constipationImproves digestion,Digestion
LDD Bioscience Hydrastis Canadensis Mother Tincture Q,LDD Bioscience Pvt Ltd,ƒ??477,ƒ??550,4.2,43 Ratings,100 ml Mother Tincture,,Product Highlights:Helps treat coryza and catarrhEases menstruation and ear painsGives relief from ulcers and eczemaEffective in improving appetite,ENT
Radient Homorid Syrup,Radient Pharma,ƒ??243,ƒ??270,4.2,11 Ratings,450 ml Syrup,Lapsana Q,"It fights against agonising pain, itching and bleeding


It helps to get relief from internal or external haemorrhoids


It boosts immunity and improves gut health",Digestion
Medisynth Aqui Folium Cream,Medisynth Chemicals Pvt Ltd,ƒ??100,,4.5,91 Ratings,20 gm Cream,Berberis aquifolium extract,Prevents acne and pimplesReduces dark spotsMakes the skin soft and supple,Skin care
Dr. Reckeweg Wiesbaden Dilution 200 CH,Dr Reckeweg & Co,ƒ??138,ƒ??160,4.2,302 Ratings,11 ml Dilution,,"Effective solution for hair problems


Reduces hair fall


Promotes hair growth


Strengthens hair follicles",Hair care
Dr Willmar Schwabe India Kali Bichromicum Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,ƒ??88,ƒ??100,4.5,91 Ratings,30 ml Dilution,Bichromicum,Useful in the treatment of gastric disordersHelps relieve sore throat and coldEffectively manages coughRelieves neuralgic headaches,Throat care
Medisynth Witch Hazel Cream,Medisynth Chemicals Pvt Ltd,ƒ??100,,4.5,86 Ratings,20 gm Cream,Hamamelis virginica,Prevents veinous congestionReduces dark spotsPrevents blood vessels from getting damaged,Skin care
Bakson's Magnesium Phosphoricum Biochemic Tablet 12X,Bakson's Homeopathy,ƒ??111,ƒ??120,4.7,58 Ratings,250 biochemic tablets,,Manages cramps and sciaticaAssists in nervous phenomenaManages all maladies having their origin in nerve cells,Mental wellness
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,ƒ??151,ƒ??170,4.4,196 Ratings,200 ml Syrup,,"Improves digestionIncreases appetiteEffective in jaundice, gallstones and liver complications",Digestion
Haslab Mamira Eye Drop,HASLAB,ƒ??63,ƒ??70,4.5,81 Ratings,10 ml Eye Drop,Acidum Boracicum,"It caters to your eye health


Soothes pain, and other minor symptoms of conjunctivitis


Helps with blurry vision or pus formation


Soothes red eye and inflammation in the area",Eye Care
Bakson Kof Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. Ltd.,ƒ??440,ƒ??500,4.4,94 Ratings,200 tablets,,Helps manage common cold and flu-like symptomsProvides relief from respiratory conditionsEffective in managing cough,Fever
Medisynth Wartex Pills,Medisynth Chemicals Pvt Ltd,ƒ??110,ƒ??125,4.2,56 Ratings,25 gm Tablet,,"Safe, effective and painless medication for warts and cornsBeneficial in treating benign epithelial tumorsDoes not leave any mark or scar on the skinReduces tendency to wart formation",Skin care
SBL Sulphur Dilution 1000 CH,SBL Pvt Ltd,ƒ??119,ƒ??140,4.4,1109 Ratings,30 ml Dilution,Sugar of milk,"This dilution can help improve skin ailments


It soothes the skin and relieves dryness and itchiness


It is a homoeopathic medicine",Skin care
ADEL 85 Neu-Regen Drinking Ampoule,Adel Pekana Germany,ƒ??1080,ƒ??1250,4.1,16 Ratings,12 Drinking Ampoules,,"Helps to relieve stress, anxiety, and other unpleasant moodsIt might aid to minimise muscle weakness and boosting staminaIt might be useful in managing insomniaHelps reduce physical and mental fatigue",Joint
SBL Leptandra Mother Tincture Q,SBL Pvt Ltd,ƒ??616,ƒ??700,4.1,29 Ratings,30 ml Mother Tincture,,"Useful for liver issuesRelieves headaches, dizziness and general debilityRelieves stomach painHelpful in dealing with some of the symptoms associated with haemorrhoids",Digestion
Medisynth Pilen Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.3,289 Ratings,30 ml Drop,Acidum Nitricum,"Addresses problems related to pilesSoothes pain in the areaHelps with constipation problemsHelps with bleeding, non-bleeding, internal, external and blind haemorrhoidsSafe for consumption",Digestion
Bakson Tense Aid Tablet,Bakson Drugs & Pharmaceuticals Pvt. Ltd.,ƒ??440,ƒ??500,4.6,27 Ratings,200 tablets,,Helps relieve stress and anxietyCan help relieve headacheMay help improve memory,Fever
Dr Willmar Schwabe India Lycopodium Clavatum Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,ƒ??88,ƒ??100,4.4,286 Ratings,30 ml Dilution,It is used for bloating and liver complaints,"Tincture of fresh leavesRemedy works on the bloating and liver complaintsReduces back - ache, joint pains, digestive troubles, etc.",Joint
LDD Bioscience Tone Max 5000 Drop,LDD Bioscience Pvt Ltd,ƒ??329,ƒ??370,,,30 ml Drop,Damiana,Improves and stimulates libido and increase vigourHas aphrodisiac properties and improves overall health,Health supplement
Bakson's Prostate Aid Drop,Bakson's Homeopathy,ƒ??150,ƒ??170,4.2,80 Ratings,30 ml Drop,Prostate aid drops are a homoeopathic medicine designed for individuals experiencing prostate-related symptoms,"Prostate Aid Drops is a homoeopathic medicine for prostate and urine problemsRelief from fatigue, backache, and pain in the kidney region is one of the benefitsProstate Aid Drops can improve urination frequency, urgency, and flowIt offers a safe and effective alternative to traditional treatments",kidney
Wheezal WL58 Dengue Drop,Wheezal Homeo Pharma,ƒ??171,ƒ??175,,,30 ml Drop,,Helps in quick recovery in case of dengue attackHelps in relieving the symptoms of dengue disease,Fever
SBL Guaiacum Mother Tincture Q,SBL Pvt Ltd,ƒ??616,ƒ??700,4.6,58 Ratings,30 ml Mother Tincture,,"Eases throat dryness and soreness


Useful for chronic rheumatism


Relieves joint and back pain


Can help with saliva dribbling",Joint
SBL Hamamelis Ointment,SBL Pvt Ltd,ƒ??64.4,ƒ??75,4.7,55 Ratings,25 gm Ointment,Hamamelis virginica in an ointment base,"Helps relieve haemorrhoids


Relieves lip soreness


Speeds up wound recovery",Throat care
Dr. Reckeweg Bio-Combination 10 (BC 10) Tablet,Dr Reckeweg & Co,ƒ??163,ƒ??185,4.7,24 Ratings,20 gm Biocombination Tablet,Calcarea Phosphorica,Helps in relieving throat painRestores normal appetiteAids in reducing inflammation,Throat care
Medisynth Wartex Cream,Medisynth Chemicals Pvt Ltd,ƒ??89,ƒ??100,4,285 Ratings,20 gm Cream,,Helps to prevent warts and cornReduces inflammationReduces scars,Skin care
Dr Willmar Schwabe Germany Bryorheum Drop,Dr Willmar Schwabe India Pvt Ltd,ƒ??369,ƒ??440,4.4,25 Ratings,20 ml Drop,Bryonia 2X 10 g,A powerful homoeopathic remedy for joint pain and rheumatismMay be helpful in easing swelling and inflammationAlso helpful in relieving back acheMade in Germany with powerful and pure ingredients,Joint
Bakson B12 Headache Drop,Bakson's Homeopathy,ƒ??163,ƒ??185,4.4,34 Ratings,30 ml Drop,Cimicifuga rac,"Homoeopathic formula for migraine, tension headache, and sinus headache


Relieves chronic headaches and associated symptoms


Promotes natural recovery and balance


Free from unpleasant side effects


Alleviates indisposition to continuous or chronic headaches",Fever
LDD Bioscience Tone-Max Syrup,LDD Bioscience Pvt Ltd,ƒ??182,ƒ??200,,,180 ml Syrup,,"Treats general debility, nervous exhaustion, impotence, and issues with dischargeHelps relieve pain due to an enlarged prostate, swollen and tender testicles, or in pelvic areasCan be useful as a restorative tonic in conditions of fatigue",Mental wellness
SBL Jaborandi Hair Oil,SBL Pvt Ltd,ƒ??157,ƒ??160,4.4,297 Ratings,100 ml Oil,,"Helps in the reduction of hair fallHelps to strengthen and nourish the hair rootsHelps to counter dandruff and premature greying of hairFacilitates an increase in density, volume, and bounce of hair",Hair care
Medisynth Wartex Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.2,119 Ratings,30 ml Drop,Causticum,Helps to prevent warts and cornReduces inflammationReduces scars,Skin care
Dr. Reckeweg Cantharis Dilution 200 CH,Dr Reckeweg & Co,ƒ??141,ƒ??160,4.5,165 Ratings,11 ml Dilution,,"Primarily used to reduce inflammation of urinary bladder


Alleviates kidney pain


Possesses antiseptic properties


Relieves skin redness and irritation",kidney
LDD Bioscience Mother Tincture Phytolacca Berry Q,LDD Bioscience Pvt Ltd,ƒ??279,ƒ??310,4.4,20 Ratings,100 ml Mother Tincture,This formulation can help improve body metabolism and enhance the digestive system to aid in weight loss and reduce fat from the body,It can help with weight managementIt may improve metabolism and energy levelsIt might help reduce appetiteIt can soothe sore throat,Throat care
Bakson's Aloevera Calendula Cream,Bakson's Homeopathy,ƒ??427,ƒ??485,4.6,328 Ratings,500 gm Cream,It helps in maintaining healthy and a moisturized skin,"All purpose cream that provides nourishment to the skinHelps in maintaining healthy and beautiful skinDermatologically tested and is enriched with organic and natural ingredientsHelps in prevention of scars, sunburn and ageing of skin",Skin care
REPL Dr. Advice No.49 Gray Hair Drop,Renovision Exports Pvt Ltd,ƒ??163,ƒ??180,4.1,63 Ratings,30 ml Drop,Thyroidinum  - 30X,A homeopathy solutionSafe for consumptionDeals with premature greying of hairMay help lower breakage of hairstrengthens hair from the roots,Hair care
Medisynth Gasgan Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.4,149 Ratings,30 ml Drop,Carbo vegetabilis,Relieves stomach aches and gastric disordersPrevents constipationImproves digestion,Digestion
Bakson's Gastro Aid Syrup,Bakson's Homeopathy,ƒ??247,ƒ??275,4.6,88 Ratings,450 ml Syrup,"It is used for the treatment of gastrointestinal issues such as hyperacidity, belching, flatulence, abdominal cramps and associated ailments","It is used for the treatment of gastrointestinal issues such as hyperacidity, belching, flatulence, abdominal cramps and associated ailmentsIt relieves one from indigestion and restores lost appetiteIs extremely helpful in providing relief from diarrhea and constipation",Digestion
Dr. Reckeweg Symphytum Officinale Mother Tincture Q,Dr Reckeweg & Co,ƒ??260,ƒ??295,4.6,51 Ratings,20 ml Mother Tincture,,"Provides relief from joint pain


Relieves headaches and backaches


Helps manage bleeding in piles


Helps manage eye injuries",Eye Care
LDD Bioscience Hydrastis Canadensis Mother Tincture Q,LDD Bioscience Pvt Ltd,ƒ??477,ƒ??550,4.2,43 Ratings,100 ml Mother Tincture,,Product Highlights:Helps treat coryza and catarrhEases menstruation and ear painsGives relief from ulcers and eczemaEffective in improving appetite,ENT
Dr. Reckeweg Aesculus Hippocastanum Dilution 200 CH,Dr Reckeweg & Co,ƒ??138,ƒ??160,4.5,150 Ratings,11 ml Dilution,,"Herbal remedy with versatile applications


Addresses varicose veins, haemorrhoids, swollen veins, and arthritis pain


Eases discomfort of skin issues like eczema, menstrual pain, and cough


Effective treatment for conditions ranging from diarrhoea to enlarged prostate",Fever
Medisynth Aqui Folium Cream,Medisynth Chemicals Pvt Ltd,ƒ??100,,4.5,91 Ratings,20 gm Cream,Berberis aquifolium extract,Prevents acne and pimplesReduces dark spotsMakes the skin soft and supple,Skin care
Haslab Digesto Syrup,HASLAB,ƒ??229,ƒ??260,4.4,137 Ratings,450 ml Syrup,"Nux Vomica, Cinchonaofficinallis, Hydrastis Can, Carbo vegetabilis, Zingiber Off, Natrum Carb, Ocimum Sanctum, Lycopodium, Allium Sativum, Mentha Piperita",Removes toxinsRelieves constipationImproves digestion,Digestion
Bakson Homoeopathic Formula P Tablet,Bakson Drugs & Pharmaceuticals Pvt. Ltd.,ƒ??182,ƒ??215,4.6,58 Ratings,75 tablets,Provides relief in problems of prostrate that helps to avoid surgery,Provides relief from prostate issuesPromotes normal functioning of the gland without side effectsHelps manage painful and frequent urination,Health supplement
Medisynth Witch Hazel Cream,Medisynth Chemicals Pvt Ltd,ƒ??100,,4.5,86 Ratings,20 gm Cream,Hamamelis virginica,Prevents veinous congestionReduces dark spotsPrevents blood vessels from getting damaged,Skin care
SBL Ginkgo Biloba Tablet 1X,SBL Pvt Ltd,ƒ??258,ƒ??315,4.4,47 Ratings,25 gm Tablet,Ginkgo biloba,"Improves cerebral circulation


Relieves tinnitus and buzzing


Alleviates vertigo


Supports healthy ageing",Health supplement
SBL Pimplex Tablet,SBL Pvt Ltd,ƒ??140,ƒ??165,4.2,35 Ratings,25 gm Tablet,Arsenicum iodatum,It helps to condition pimples and acne problemsIt relieves blackheads and painful red lumps or cysts on the skinIt helps to lighten scar marks,Skin care
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,ƒ??151,ƒ??170,4.4,196 Ratings,200 ml Syrup,,"Improves digestionIncreases appetiteEffective in jaundice, gallstones and liver complications",Digestion
Medisynth Pilen Cream,Medisynth Chemicals Pvt Ltd,ƒ??100,,4.4,51 Ratings,20 gm Cream,,Effective in both internal and external piles and provides relief in burningHelps in shrinkage of the pilesPromotes easy passage while evacuating stools,Digestion
Medisynth Wartex Pills,Medisynth Chemicals Pvt Ltd,ƒ??110,ƒ??125,4.2,56 Ratings,25 gm Tablet,,"Safe, effective and painless medication for warts and cornsBeneficial in treating benign epithelial tumorsDoes not leave any mark or scar on the skinReduces tendency to wart formation",Skin care
Bakson B28 Weight Drop,Bakson's Homeopathy,ƒ??159,ƒ??185,4.1,57 Ratings,30 ml Drop,Bakson's B28 Weight Drop is a natural homoeopathic medicine for weight management that can also address the effects of thyroid dysfunction on weight gain,"B28 Weight Drop addresses thyroid dysfunction on weight gain as well as weight managementB28 Weight Drop manages weight gain caused by metabolic disorders or underlying factorsWeight gain is targeted with its unique blend of ingredients, providing long-term and sustainable resultsB28 Weight Drop helps achieve a healthy weight and improve overall health and well-being",Digestion
Medisynth Pilen Forte Drop,Medisynth Chemicals Pvt Ltd,ƒ??154,ƒ??175,4.3,289 Ratings,30 ml Drop,Acidum Nitricum,"Addresses problems related to pilesSoothes pain in the areaHelps with constipation problemsHelps with bleeding, non-bleeding, internal, external and blind haemorrhoidsSafe for consumption",Digestion
Dr. Reckeweg Hekla Lava Trituration Tablet 3X,Dr Reckeweg & Co,ƒ??232,ƒ??240,4.4,44 Ratings,20 gm Trituration Tablet,,"Manages tooth decay


Useful for toothache and swelling of the jaws


Reduces the risk of nasal bone ulceration


Useful for maxillary bone enlargement",Joint
LDD Bioscience Tone Max 5000 Drop,LDD Bioscience Pvt Ltd,ƒ??329,ƒ??370,,,30 ml Drop,Damiana,Improves and stimulates libido and increase vigourHas aphrodisiac properties and improves overall health,Health supplement
Wheezal WL07 Cold And Cough Drop,Wheezal Homeo Pharma,ƒ??152,ƒ??175,4.6,52 Ratings,30 ml Drop,,"Aids to alleviate cramps and reduces nausea


Supports relief from bloating, gas, indigestion and constipation


Used in providing relief from cough and flu


Helps to improve the digestive function of the body",Eye Care
